pitch,velocity,start_time,end_time,tempo
72,100,0.0,3.42410371875,140.00014000014
45,100,0.0,3.42410371875,140.00014000014
57,100,0.0,3.42410371875,140.00014000014
64,100,3.4285680000000003,6.852671718750001,140.00014000014
52,100,3.4285680000000003,6.852671718750001,140.00014000014
79,100,3.4285680000000003,6.852671718750001,140.00014000014
43,100,6.857136000000001,10.281239718750001,140.00014000014
55,100,6.857136000000001,10.281239718750001,140.00014000014
71,100,6.857136000000001,10.281239718750001,140.00014000014
62,100,10.285704,13.709807718750001,140.00014000014
78,100,10.285704,13.709807718750001,140.00014000014
50,100,10.285704,13.709807718750001,140.00014000014
57,100,13.714272000000001,17.13837571875,140.00014000014
45,100,13.714272000000001,17.13837571875,140.00014000014
72,100,13.714272000000001,17.13837571875,140.00014000014
64,100,17.14284,20.56694371875,140.00014000014
52,100,17.14284,20.56694371875,140.00014000014
83,100,17.14284,20.56694371875,140.00014000014
43,100,20.571408,23.995511718750002,140.00014000014
55,100,20.571408,23.995511718750002,140.00014000014
71,100,20.571408,23.995511718750002,140.00014000014
62,100,23.999976000000004,27.42407971875,140.00014000014
78,100,23.999976000000004,27.42407971875,140.00014000014
50,100,23.999976000000004,27.42407971875,140.00014000014
